PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,b,1959,0,0.02713,0.02650,0.12,100000,2650,97678,6993574,69.94
USA,b,1959,1,0.00173,0.00173,0.5,97350,168,97266,6895897,70.84
USA,b,1959,2,0.00106,0.00106,0.5,97182,103,97130,6798631,69.96
USA,b,1959,3,0.00079,0.00079,0.5,97079,76,97041,6701501,69.03
USA,b,1959,4,0.00068,0.00068,0.5,97003,66,96970,6604460,68.09
USA,b,1959,5,0.00060,0.00060,0.5,96937,58,96908,6507490,67.13
USA,b,1959,6,0.00053,0.00053,0.5,96879,52,96853,6410582,66.17
USA,b,1959,7,0.00048,0.00048,0.5,96827,46,96804,6313729,65.21
USA,b,1959,8,0.00043,0.00043,0.5,96781,41,96760,6216925,64.24
USA,b,1959,9,0.00042,0.00042,0.5,96740,41,96719,6120164,63.26
USA,b,1959,10,0.00040,0.00040,0.5,96699,39,96680,6023445,62.29
USA,b,1959,11,0.00041,0.00041,0.5,96660,40,96640,5926765,61.32
USA,b,1959,12,0.00047,0.00047,0.5,96620,45,96598,5830125,60.34
USA,b,1959,13,0.00045,0.00045,0.5,96575,44,96553,5733527,59.37
USA,b,1959,14,0.00057,0.00057,0.5,96531,55,96504,5636974,58.40
USA,b,1959,15,0.00070,0.00070,0.5,96477,68,96443,5540470,57.43
USA,b,1959,16,0.00085,0.00085,0.5,96409,82,96368,5444027,56.47
USA,b,1959,17,0.00097,0.00097,0.5,96327,93,96281,5347659,55.52
USA,b,1959,18,0.00110,0.00110,0.5,96234,106,96181,5251379,54.57
USA,b,1959,19,0.00114,0.00114,0.5,96129,110,96074,5155197,53.63
USA,b,1959,20,0.00125,0.00124,0.5,96019,120,95959,5059123,52.69
USA,b,1959,21,0.00129,0.00129,0.5,95899,124,95838,4963164,51.75
USA,b,1959,22,0.00127,0.00127,0.5,95776,122,95715,4867327,50.82
USA,b,1959,23,0.00120,0.00119,0.5,95654,114,95597,4771612,49.88
USA,b,1959,24,0.00121,0.00121,0.5,95540,116,95482,4676015,48.94
USA,b,1959,25,0.00126,0.00126,0.5,95424,120,95364,4580532,48.00
USA,b,1959,26,0.00127,0.00127,0.5,95304,121,95243,4485168,47.06
USA,b,1959,27,0.00126,0.00126,0.5,95183,120,95123,4389925,46.12
USA,b,1959,28,0.00129,0.00129,0.5,95064,122,95002,4294801,45.18
USA,b,1959,29,0.00133,0.00133,0.5,94941,126,94878,4199799,44.24
USA,b,1959,30,0.00144,0.00144,0.5,94815,136,94747,4104921,43.29
USA,b,1959,31,0.00152,0.00152,0.5,94679,144,94607,4010174,42.36
USA,b,1959,32,0.00164,0.00164,0.5,94535,155,94457,3915567,41.42
USA,b,1959,33,0.00172,0.00172,0.5,94380,163,94298,3821110,40.49
USA,b,1959,34,0.00182,0.00182,0.5,94217,172,94131,3726812,39.56
USA,b,1959,35,0.00193,0.00192,0.5,94045,181,93955,3632681,38.63
USA,b,1959,36,0.00210,0.00210,0.5,93865,197,93766,3538726,37.70
USA,b,1959,37,0.00224,0.00224,0.5,93667,210,93563,3444960,36.78
USA,b,1959,38,0.00253,0.00252,0.5,93458,236,93340,3351397,35.86
USA,b,1959,39,0.00274,0.00273,0.5,93222,255,93095,3258057,34.95
USA,b,1959,40,0.00302,0.00301,0.5,92967,280,92827,3164963,34.04
USA,b,1959,41,0.00311,0.00310,0.5,92687,288,92543,3072135,33.15
USA,b,1959,42,0.00369,0.00368,0.5,92400,340,92229,2979592,32.25
USA,b,1959,43,0.00397,0.00396,0.5,92059,365,91877,2887363,31.36
USA,b,1959,44,0.00434,0.00433,0.5,91695,397,91496,2795486,30.49
USA,b,1959,45,0.00478,0.00476,0.5,91297,435,91080,2703990,29.62
USA,b,1959,46,0.00518,0.00517,0.5,90862,470,90628,2612910,28.76
USA,b,1959,47,0.00580,0.00579,0.5,90393,523,90131,2522282,27.90
USA,b,1959,48,0.00653,0.00650,0.5,89870,585,89577,2432151,27.06
USA,b,1959,49,0.00708,0.00705,0.5,89285,630,88970,2342573,26.24
USA,b,1959,50,0.00782,0.00779,0.5,88655,691,88310,2253603,25.42
USA,b,1959,51,0.00828,0.00825,0.5,87965,726,87602,2165293,24.62
USA,b,1959,52,0.00945,0.00941,0.5,87239,821,86829,2077691,23.82
USA,b,1959,53,0.01003,0.00998,0.5,86418,863,85987,1990863,23.04
